index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,"Despite the inclement weather conditions and numerous logistical challenges, the expedition team persevered through treacherous terrain and ultimately reached the summit of the unconquered peak just as the first rays of dawn illuminated the glacial landscape.",9.899,0,0,3904126976,4009029632,9.6,36284592,16000,-1
2,"While quantum computing represents a paradigm shift in computational capabilities that could revolutionize fields from cryptography to drug discovery, its practical implementation remains constrained by formidable technical obstacles including quantum decoherence and error correction complexities.",10.364,0,0,4009029632,4035907584,11.9,36284592,16000,-1
3,"The interdisciplinary symposium on neurodegenerative diseases facilitated a robust exchange of groundbreaking research methodologies between distinguished neuroscientists, molecular biologists, and clinical practitioners, fostering innovative collaborative approaches to therapeutic intervention.",11.890,0,0,4035907584,4036030464,20.9,36284592,16000,-1
4,"Architectural preservationists advocating for the restoration of the historic downtown district have encountered significant bureaucratic hurdles and funding shortfalls, yet remain steadfast in their commitment to safeguarding the city's cultural heritage for future generations.",10.067,0,0,4036030464,4036530176,12.0,36284592,16000,-1
5,"Climate models projecting accelerated polar ice melt and consequent sea-level rise have precipitated urgent international dialogues regarding coordinated policy responses, though geopolitical tensions and economic considerations continue to impede comprehensive multilateral agreements.",11.099,0,0,4036530176,4036886528,11.4,36284592,16000,-1
6,"Advanced natural language processing algorithms, leveraging transformer architectures and unsupervised learning techniques, are increasingly capable of generating coherent, contextually appropriate text across diverse domains while demonstrating emergent semantic understanding.",11.320,0,0,4036886528,4036993024,9.6,36284592,16000,-1
7,"Corporate restructuring initiatives aimed at optimizing operational efficiency and enhancing shareholder value frequently necessitate difficult organizational realignments and strategic divestitures, often provoking substantial workforce apprehension and market uncertainty.",10.713,0,0,4036993024,4037222400,10.2,36284592,16000,-1
8,"The philharmonic orchestra's interpretation of the late Romantic symphony masterfully conveyed the composition's emotional complexity through nuanced dynamic phrasing and exquisite temporal flexibility, earning sustained critical acclaim and multiple standing ovations.",8.696,0,0,4037222400,4290088960,11.4,36284592,16000,-1
9,"Contemporary software engineering paradigms emphasize agile development methodologies, continuous integration pipelines, and test-driven development practices to accommodate rapidly evolving requirements while maintaining code quality and system reliability.",9.587,0,0,4290088960,4290093056,12.6,36284592,16000,-1
10,"Gastro-tourism enthusiasts increasingly seek authentic culinary experiences that immerse them in regional foodways and traditional preparation techniques, driving demand for specialized guided tours and hands-on workshops with local artisans and chefs.",8.840,0,0,4290093056,4354150400,10.8,36284592,16000,-1
