index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,"Despite the inclement weather conditions and numerous logistical challenges, the expedition team persevered through treacherous terrain and ultimately reached the summit of the unconquered peak just as the first rays of dawn illuminated the glacial landscape.",36.858,0,0,4675166208,8003297280,10.8,852026434,16000,-1
2,"While quantum computing represents a paradigm shift in computational capabilities that could revolutionize fields from cryptography to drug discovery, its practical implementation remains constrained by formidable technical obstacles including quantum decoherence and error correction complexities.",35.298,0,0,8017977344,7801094144,6.2,852026434,16000,-1
3,"The interdisciplinary symposium on neurodegenerative diseases facilitated a robust exchange of groundbreaking research methodologies between distinguished neuroscientists, molecular biologists, and clinical practitioners, fostering innovative collaborative approaches to therapeutic intervention.",29.579,0,0,7801094144,7809613824,3.2,852026434,16000,-1
4,"Architectural preservationists advocating for the restoration of the historic downtown district have encountered significant bureaucratic hurdles and funding shortfalls, yet remain steadfast in their commitment to safeguarding the city's cultural heritage for future generations.",32.067,0,0,7809613824,7813545984,5.7,852026434,16000,-1
5,"Climate models projecting accelerated polar ice melt and consequent sea-level rise have precipitated urgent international dialogues regarding coordinated policy responses, though geopolitical tensions and economic considerations continue to impede comprehensive multilateral agreements.",26.839,0,0,7813545984,7814356992,5.1,852026434,16000,-1
6,"Advanced natural language processing algorithms, leveraging transformer architectures and unsupervised learning techniques, are increasingly capable of generating coherent, contextually appropriate text across diverse domains while demonstrating emergent semantic understanding.",24.806,0,0,7814356992,7816192000,6.8,852026434,16000,-1
7,"Corporate restructuring initiatives aimed at optimizing operational efficiency and enhancing shareholder value frequently necessitate difficult organizational realignments and strategic divestitures, often provoking substantial workforce apprehension and market uncertainty.",27.534,0,0,7815217152,7816396800,8.2,852026434,16000,-1
8,"The philharmonic orchestra's interpretation of the late Romantic symphony masterfully conveyed the composition's emotional complexity through nuanced dynamic phrasing and exquisite temporal flexibility, earning sustained critical acclaim and multiple standing ovations.",31.615,0,0,7816396800,7816753152,5.7,852026434,16000,-1
9,"Contemporary software engineering paradigms emphasize agile development methodologies, continuous integration pipelines, and test-driven development practices to accommodate rapidly evolving requirements while maintaining code quality and system reliability.",26.781,0,0,7816753152,7817539584,5.1,852026434,16000,-1
10,"Gastro-tourism enthusiasts increasingly seek authentic culinary experiences that immerse them in regional foodways and traditional preparation techniques, driving demand for specialized guided tours and hands-on workshops with local artisans and chefs.",24.700,0,0,7817539584,7818063872,4.4,852026434,16000,-1
