index,text,synthesis_time_s,peak_gpu_mem_bytes,end_gpu_mem_bytes,cpu_rss_bytes_start,cpu_rss_bytes_end,cpu_cpu_percent,model_param_count,sample_rate,mos_rating
1,"Despite the inclement weather conditions and numerous logistical challenges, the expedition team persevered through treacherous terrain and ultimately reached the summit of the unconquered peak just as the first rays of dawn illuminated the glacial landscape.",21.797,0,0,2914971648,4622004224,10.0,60000000,24000,-1
2,"While quantum computing represents a paradigm shift in computational capabilities that could revolutionize fields from cryptography to drug discovery, its practical implementation remains constrained by formidable technical obstacles including quantum decoherence and error correction complexities.",29.459,0,0,4622135296,4652793856,10.3,60000000,24000,-1
3,"The interdisciplinary symposium on neurodegenerative diseases facilitated a robust exchange of groundbreaking research methodologies between distinguished neuroscientists, molecular biologists, and clinical practitioners, fostering innovative collaborative approaches to therapeutic intervention.",24.560,0,0,4652793856,4538486784,10.1,60000000,24000,-1
4,"Architectural preservationists advocating for the restoration of the historic downtown district have encountered significant bureaucratic hurdles and funding shortfalls, yet remain steadfast in their commitment to safeguarding the city's cultural heritage for future generations.",21.760,0,0,4538486784,4569604096,5.6,60000000,24000,-1
5,"Climate models projecting accelerated polar ice melt and consequent sea-level rise have precipitated urgent international dialogues regarding coordinated policy responses, though geopolitical tensions and economic considerations continue to impede comprehensive multilateral agreements.",22.568,0,0,4569604096,4600152064,8.9,60000000,24000,-1
6,"Advanced natural language processing algorithms, leveraging transformer architectures and unsupervised learning techniques, are increasingly capable of generating coherent, contextually appropriate text across diverse domains while demonstrating emergent semantic understanding.",25.586,0,0,4600152064,4600516608,5.7,60000000,24000,-1
7,"Corporate restructuring initiatives aimed at optimizing operational efficiency and enhancing shareholder value frequently necessitate difficult organizational realignments and strategic divestitures, often provoking substantial workforce apprehension and market uncertainty.",23.990,0,0,4600516608,4601024512,9.6,60000000,24000,-1
8,"The philharmonic orchestra's interpretation of the late Romantic symphony masterfully conveyed the composition's emotional complexity through nuanced dynamic phrasing and exquisite temporal flexibility, earning sustained critical acclaim and multiple standing ovations.",22.985,0,0,4601024512,4600938496,7.0,60000000,24000,-1
9,"Contemporary software engineering paradigms emphasize agile development methodologies, continuous integration pipelines, and test-driven development practices to accommodate rapidly evolving requirements while maintaining code quality and system reliability.",22.834,0,0,4600938496,4602011648,8.3,60000000,24000,-1
10,"Gastro-tourism enthusiasts increasingly seek authentic culinary experiences that immerse them in regional foodways and traditional preparation techniques, driving demand for specialized guided tours and hands-on workshops with local artisans and chefs.",24.765,0,0,4602011648,4601991168,8.3,60000000,24000,-1
